id,merged,dsh1,dshpct,beds,bed_days,medicare_days,medicaid_days,days,employees,medicare_disch,medicaid_disch,discharges,status_cat,state_cat,city_cat,county_cat
283301,0.0,,,128.0,46848.0,15.0,9502.0,31695.0,1380.0,2.0,1187.0,4984.0,3,31,2059,461
284003,0.0,,,200.0,73000.0,278.0,3951.0,81061.0,492.130004882812,11.0,14.0,48.0,3,31,1573,840
284009,0.0,,,16.0,5840.0,1389.0,1109.0,4781.0,86.0,188.0,191.0,928.0,3,31,2059,461
290001,0.0,9599488.0,0.116999998688698,607.0,221555.0,43522.0,23110.0,146963.0,2476.05004882812,8010.0,4027.0,27961.0,3,35,2352,1649
290002,0.0,,,14.0,5110.0,270.0,9.0,516.0,87.6500015258789,68.0,4.0,149.0,3,35,3156,910
290003,0.0,19173061.0,0.281100004911423,600.0,203160.0,32734.0,25788.0,144487.0,2259.57006835938,6340.0,3796.0,27371.0,2,35,1527,314
290005,0.0,3074626.0,0.226199999451637,117.0,42705.0,10146.0,4907.0,25196.0,450.660003662109,1476.0,824.0,4508.0,2,35,1997,314
290006,0.0,244038.0,0.046399999409914,40.0,14640.0,4016.0,1064.0,7829.0,239.880004882812,907.0,287.0,2202.0,3,35,909,302
290007,0.0,7722095.0,0.256199985742569,499.0,182135.0,16109.0,59675.0,135300.0,3486.0,2731.0,7440.0,27942.0,4,35,1527,314
290008,0.0,121455.0,0.0254999995231628,62.0,22630.0,2845.0,677.0,7578.0,258.170013427734,782.0,236.0,2731.0,2,35,847,501
290009,0.0,602826.0,0.0386999994516373,277.0,50048.0,7270.0,2061.0,26800.0,547.359985351562,1745.0,277.0,6764.0,3,35,2352,1649
290012,0.0,583989.0,0.0351000018417835,81.0,29565.0,8330.0,1875.0,23441.0,643.419982910156,1916.0,267.0,5475.0,3,35,1229,314
290019,0.0,,,147.0,53646.0,16721.0,2917.0,34224.0,982.900024414062,3961.0,938.0,9098.0,3,35,444,246
290020,0.0,9278.0,0.0377999991178513,10.0,3660.0,169.0,15.0,484.0,51.7900009155273,50.0,8.0,193.0,3,35,2832,1101
290021,0.0,7726997.0,0.212400004267693,276.0,101016.0,21681.0,13816.0,78854.0,1276.7099609375,3563.0,1926.0,14575.0,0,35,1527,850
290022,0.0,1174892.0,0.0384999997913837,239.0,87474.0,16327.0,4453.0,48208.0,825.059997558594,3076.0,551.0,9643.0,1,35,1527,850
290032,0.0,,,72.0,26352.0,4156.0,854.0,9937.0,306.940002441406,1194.0,224.0,3094.0,3,35,2644,1649
290039,0.0,4765661.0,0.0776000022888184,229.0,83814.0,33698.0,6149.0,76256.0,962.570007324219,6141.0,991.0,16560.0,2,35,1527,314
290041,0.0,2749047.0,0.0807999968528748,406.0,148596.0,20218.0,8411.0,79686.0,1279.93005371094,3782.0,922.0,16601.0,2,35,1527,850
290042,0.0,,,116.0,42456.0,332.0,,39813.0,265.0,33.0,,3354.0,3,35,1527,314
290045,0.0,2525521.0,0.0529999993741512,219.0,79935.0,20839.0,5148.0,71576.0,1520.96997070312,4499.0,905.0,18023.0,3,35,1229,314
290046,0.0,2795023.0,0.11089999973774,209.0,76494.0,13297.0,5544.0,58828.0,875.659973144531,2560.0,770.0,13076.0,2,35,1527,850
290047,0.0,1604851.0,0.0843999981880188,120.0,43920.0,9339.0,1939.0,28242.0,440.339996337891,1885.0,367.0,6834.0,3,35,1527,314
290049,0.0,,,76.0,27740.0,3904.0,631.0,9159.0,337.079986572266,1098.0,193.0,2906.0,3,35,2352,1649
290051,0.0,,,15.0,5490.0,968.0,9.0,1967.0,127.410003662109,335.0,4.0,731.0,3,35,444,246
290053,0.0,,,147.0,53655.0,9614.0,1676.0,32592.0,706.309997558594,2006.0,290.0,7859.0,3,35,1527,314
290054,0.0,1300995.0,0.0746999979019165,171.0,62586.0,9679.0,2614.0,33992.0,615.119995117188,1982.0,518.0,8679.0,2,35,1527,850
291300,0.0,,,11.0,4015.0,1802.0,185.0,2604.0,78.0100021362305,293.0,18.0,481.0,3,35,1211,996
291301,0.0,,,4.0,1460.0,8.0,,15.0,30.7099990844727,3.0,,10.0,3,35,1326,1649
291302,0.0,,,25.0,9125.0,512.0,139.0,1244.0,118.319999694824,183.0,65.0,369.0,2,35,860,1679
291303,0.0,,,7.0,2555.0,74.0,1.0,187.0,67.120002746582,27.0,1.0,44.0,2,35,180,841
291304,0.0,,,13.0,4745.0,239.0,12.0,285.0,50.6100006103516,26.0,4.0,46.0,3,35,1623,1184
291306,0.0,,,23.0,8418.0,1584.0,53.0,2339.0,211.070007324219,442.0,17.0,739.0,3,35,1035,461
291307,0.0,,,25.0,9125.0,1161.0,284.0,2275.0,153.270004272461,410.0,43.0,786.0,3,35,1777,315
291308,0.0,,,22.0,8030.0,782.0,273.0,2723.0,179.619995117188,209.0,172.0,1151.0,3,35,3106,712
291309,0.0,,,20.0,7320.0,1316.0,57.0,1935.0,131.300003051758,224.0,10.0,376.0,2,35,312,314
